Date,State,Rolling Avg Cases,Rolling Avg Deaths
2021-05-30,Kansas,116.28571428571429,3.142857142857143
2021-05-31,Kansas,80.28571428571429,2.857142857142857
2021-06-01,Kansas,80.71428571428571,3.0
2021-06-02,Kansas,92.71428571428571,2.2857142857142856
2021-06-03,Kansas,91.14285714285714,2.2857142857142856
2021-06-04,Kansas,109.42857142857143,1.0
2021-06-05,Kansas,109.42857142857143,1.0
2021-06-06,Kansas,109.42857142857143,1.0
2021-06-07,Kansas,140.0,3.142857142857143
2021-06-08,Kansas,143.14285714285714,3.0
2021-06-09,Kansas,123.14285714285714,3.4285714285714284
2021-06-10,Kansas,125.42857142857143,3.4285714285714284
2021-06-11,Kansas,108.71428571428571,2.7142857142857144
2021-06-12,Kansas,108.71428571428571,2.7142857142857144
2021-06-13,Kansas,108.71428571428571,2.7142857142857144
2021-06-14,Kansas,110.42857142857143,3.142857142857143
2021-06-15,Kansas,111.28571428571429,3.142857142857143
2021-06-16,Kansas,112.14285714285714,3.142857142857143
2021-06-17,Kansas,112.14285714285714,3.142857142857143
2021-06-18,Kansas,102.42857142857143,3.2857142857142856
2021-06-19,Kansas,102.42857142857143,3.2857142857142856
2021-06-20,Kansas,102.42857142857143,3.2857142857142856
2021-06-21,Kansas,90.71428571428571,1.0
2021-06-22,Kansas,88.57142857142857,1.0
2021-06-23,Kansas,92.14285714285714,2.0
2021-06-24,Kansas,91.57142857142857,2.0
2021-06-25,Kansas,104.14285714285714,2.7142857142857144
2021-06-26,Kansas,104.14285714285714,2.7142857142857144
2021-06-27,Kansas,104.14285714285714,2.7142857142857144
2021-06-28,Kansas,129.0,2.5714285714285716
2021-06-29,Kansas,128.0,2.4285714285714284
2021-06-30,Kansas,143.0,1.8571428571428572
2021-07-01,Kansas,147.85714285714286,2.0
2021-07-02,Kansas,165.42857142857142,1.4285714285714286
2021-07-03,Kansas,165.42857142857142,1.4285714285714286
2021-07-04,Kansas,165.42857142857142,1.4285714285714286
2021-07-05,Kansas,120.0,1.2857142857142858
2021-07-06,Kansas,130.0,1.1428571428571428
2021-07-07,Kansas,202.28571428571428,1.1428571428571428
2021-07-08,Kansas,197.85714285714286,1.0
2021-07-09,Kansas,260.14285714285717,2.2857142857142856
2021-07-10,Kansas,260.14285714285717,2.2857142857142856
2021-07-11,Kansas,260.14285714285717,2.2857142857142856
2021-07-12,Kansas,352.42857142857144,3.857142857142857
2021-07-13,Kansas,347.85714285714283,4.142857142857143
2021-07-14,Kansas,246.42857142857142,3.4285714285714284
2021-07-15,Kansas,251.71428571428572,3.4285714285714284
2021-07-16,Kansas,418.0,3.4285714285714284
2021-07-17,Kansas,418.0,3.4285714285714284
2021-07-18,Kansas,418.0,3.4285714285714284
2021-07-19,Kansas,440.85714285714283,2.142857142857143
2021-07-20,Kansas,441.0,2.142857142857143
2021-07-21,Kansas,584.8571428571429,2.142857142857143
2021-07-22,Kansas,586.1428571428571,2.2857142857142856
2021-07-23,Kansas,550.7142857142857,6.142857142857143
2021-07-24,Kansas,552.1428571428571,6.142857142857143
2021-07-25,Kansas,552.1428571428571,6.142857142857143
2021-07-26,Kansas,628.1428571428571,6.857142857142857
2021-07-27,Kansas,632.2857142857143,6.857142857142857
2021-07-28,Kansas,777.4285714285714,6.714285714285714
2021-07-29,Kansas,774.0,6.857142857142857
2021-07-30,Kansas,789.4285714285714,2.7142857142857144
2021-07-31,Kansas,793.7142857142857,2.7142857142857144
2021-08-01,Kansas,793.7142857142857,2.7142857142857144
2021-08-02,Kansas,842.7142857142857,2.7142857142857144
2021-08-03,Kansas,843.7142857142857,2.4285714285714284
2021-08-04,Kansas,901.0,5.142857142857143
2021-08-05,Kansas,910.2857142857143,5.428571428571429
2021-08-06,Kansas,946.0,5.857142857142857
2021-08-07,Kansas,940.2857142857143,5.857142857142857
2021-08-08,Kansas,940.2857142857143,5.857142857142857
2021-08-09,Kansas,1088.857142857143,7.714285714285714
2021-08-10,Kansas,1081.0,8.142857142857142
2021-08-11,Kansas,1087.5714285714287,10.142857142857142
2021-08-12,Kansas,1079.142857142857,10.142857142857142
2021-08-13,Kansas,1190.2857142857142,11.714285714285714
2021-08-14,Kansas,1190.2857142857142,11.714285714285714
2021-08-15,Kansas,1190.2857142857142,11.714285714285714
2021-08-16,Kansas,1140.2857142857142,10.0
2021-08-17,Kansas,1151.857142857143,10.142857142857142
2021-08-18,Kansas,1154.142857142857,5.428571428571429
2021-08-19,Kansas,1164.142857142857,5.142857142857143
2021-08-20,Kansas,1160.2857142857142,14.714285714285714
2021-08-21,Kansas,1163.0,14.714285714285714
2021-08-22,Kansas,1170.4285714285713,14.714285714285714
